iter,n_degs,jaccard_vs_full,n_pos,n_neg
1,11085,0.39091603053435114,80,80
2,11408,0.3928195884031846,80,80
3,11322,0.3867768595041322,80,80
4,11437,0.3926964607078584,80,80
5,11247,0.4003961301135065,80,80
6,11493,0.39209385742041547,80,80
7,11239,0.39088638255998787,80,80
8,11138,0.3886018237082067,80,80
9,11414,0.391284782119553,80,80
10,11198,0.3912581575352861,80,80
